dataset,image_filename,cell_id,x_pixel,y_pixel,class_bethesda,binary_label,crop_path,crop_valid,split
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,24,219,160,LSIL,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_24.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,34,973,556,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_34.png,True,train
CRIC,9ae8a4edde40219bad6303cebc672ee4.png,38,131,357,ASC-H,1,data\processed\cric_crops\9ae8a4edde40219bad6303cebc672ee4_cell_38.png,True,train
CRIC,dc2df7c3f88649ded343b13b9486cddf.png,49,574,420,SCC,1,data\processed\cric_crops\dc2df7c3f88649ded343b13b9486cddf_cell_49.png,True,train
CRIC,dc2df7c3f88649ded343b13b9486cddf.png,62,381,879,Negative for intraepithelial lesion,0,data\processed\cric_crops\dc2df7c3f88649ded343b13b9486cddf_cell_62.png,True,train
CRIC,dc2df7c3f88649ded343b13b9486cddf.png,66,541,127,SCC,1,data\processed\cric_crops\dc2df7c3f88649ded343b13b9486cddf_cell_66.png,True,train
CRIC,dc2df7c3f88649ded343b13b9486cddf.png,80,877,900,SCC,1,data\processed\cric_crops\dc2df7c3f88649ded343b13b9486cddf_cell_80.png,True,train
CRIC,0cc6e576dac3046d279bba515e10a7a9.png,94,1024,591,SCC,1,data\processed\cric_crops\0cc6e576dac3046d279bba515e10a7a9_cell_94.png,True,train
CRIC,0cc6e576dac3046d279bba515e10a7a9.png,96,734,844,SCC,1,data\processed\cric_crops\0cc6e576dac3046d279bba515e10a7a9_cell_96.png,True,train
CRIC,0cc6e576dac3046d279bba515e10a7a9.png,102,391,865,SCC,1,data\processed\cric_crops\0cc6e576dac3046d279bba515e10a7a9_cell_102.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,133,159,519,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_133.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,150,353,478,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_150.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,158,529,557,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_158.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,170,699,601,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_170.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,178,803,648,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_178.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,181,975,749,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_181.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,182,983,723,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_182.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,200,1007,668,HSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_200.png,True,train
CRIC,dbf4ff8985d6e352b46cd8f42add72e8.png,222,1243,458,LSIL,1,data\processed\cric_crops\dbf4ff8985d6e352b46cd8f42add72e8_cell_222.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,223,508,164,Negative for intraepithelial lesion,0,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_223.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,231,184,657,Negative for intraepithelial lesion,0,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_231.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,234,650,143,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_234.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,240,793,199,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_240.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,252,828,302,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_252.png,True,train
CRIC,ba9d94a8fdbaba01220db89cde170b24.png,264,538,259,HSIL,1,data\processed\cric_crops\ba9d94a8fdbaba01220db89cde170b24_cell_264.png,True,train
