epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,val_sensitivity,val_specificity,train_time,val_time
1,0.607901900452752,0.6654275092936803,0.5170025180686604,0.7371212121212121,0.7023779742546941,0.5038610038610039,0.8877805486284289,4.26342511177063,7.638838529586792
2,0.30940171644147,0.8773234200743495,0.5103614660826596,0.746969696969697,0.6976776558635298,0.4372586872586873,0.9470074812967582,2.5951547622680664,6.454418182373047
3,0.19336799197037424,0.9535315985130112,0.5135134063886874,0.7541666666666667,0.7080760083275418,0.4546332046332046,0.9476309226932669,3.167830467224121,6.6326234340667725
4,0.12599099258507937,0.9758364312267658,0.49196012363289343,0.7734848484848484,0.7424828856949726,0.5434362934362934,0.922069825436409,2.660310983657837,6.0481626987457275
5,0.08017999271699487,0.9925650557620818,0.535565189565673,0.768560606060606,0.733208911097589,0.5154440154440154,0.9320448877805486,2.5791096687316895,5.8964245319366455
6,0.0453038544542949,0.9962825278810409,0.5844744764494173,0.7534090909090909,0.7039562927977409,0.4391891891891892,0.956359102244389,2.5663833618164062,5.77018928527832
7,0.03614333251207291,0.9962825278810409,0.5979110719353864,0.7651515151515151,0.727081917442947,0.49903474903474904,0.9370324189526185,2.6567299365997314,5.892364025115967
8,0.03588598594761914,0.9925650557620818,0.5591901352459734,0.7742424242424243,0.7436498998998999,0.5463320463320464,0.9214463840399002,2.9366865158081055,6.277000904083252
9,0.018743607167113003,1.0,0.5985126191242175,0.7738636363636363,0.7409518124152404,0.5318532818532818,0.9301745635910225,2.7415850162506104,6.400181293487549
10,0.011123169431649841,0.9981412639405205,0.5944003435698423,0.7772727272727272,0.7449359185014788,0.5366795366795367,0.9326683291770573,2.838322877883911,5.699029207229614
11,0.014081689172517854,0.9981412639405205,0.6595884801989252,0.7704545454545455,0.7314607111228684,0.49613899613899615,0.9476309226932669,2.6177313327789307,5.715479850769043
12,0.011452841229709108,1.0,0.6254814003227335,0.7791666666666667,0.7481093719083818,0.5453667953667953,0.9301745635910225,2.6212968826293945,5.677428483963013
13,0.007115751115404429,1.0,0.6221026081027407,0.7795454545454545,0.7532375843082436,0.5772200772200772,0.9102244389027432,2.734409809112549,5.843003511428833
14,0.004884163618821748,1.0,0.6545190662822941,0.7723484848484848,0.7406463995857246,0.5386100386100386,0.9233167082294265,2.610823392868042,5.796190023422241
15,0.004695120588685888,1.0,0.6844176170500842,0.7712121212121212,0.7368488802016806,0.5222007722007722,0.9320448877805486,2.6000313758850098,6.6039862632751465
16,0.0032964769567338727,1.0,0.6883803112375917,0.7723484848484848,0.7385664423408209,0.5260617760617761,0.9314214463840399,2.634704828262329,5.820165157318115
17,0.003772724158438719,1.0,0.6662191963557041,0.7727272727272727,0.7420825531222014,0.5453667953667953,0.919576059850374,2.6354949474334717,5.8206398487091064
18,0.0027589519996348367,1.0,0.712401360566869,0.7712121212121212,0.7384785650697265,0.5318532818532818,0.9258104738154613,2.618468999862671,5.860070466995239
19,0.0024834071878053,1.0,0.7045946709642356,0.7727272727272727,0.7398910563904366,0.5318532818532818,0.9283042394014963,2.6121954917907715,5.650059223175049
20,0.003626433286822806,1.0,0.6761154631096306,0.7772727272727272,0.7499974231851493,0.5694980694980695,0.9114713216957606,2.429631471633911,5.690861940383911
21,0.0030532042066597808,1.0,0.7398993740817814,0.7715909090909091,0.7383483130425292,0.528957528957529,0.9283042394014963,2.634286880493164,5.6586737632751465
