dataset,image_filename,x_norm,y_norm,class_bethesda,class_annotated,cluster_idx,binary_label,x_pixel,y_pixel,crop_path,crop_valid,slide_id,split
RIVA,HSIL_11_5.png,78.16793893129771,469.00763358778624,NILM,Sin lesion,40020.0,0,78,469,data\processed\riva_crops\HSIL_11_5_cluster_40020.png,True,HSIL_11,train
RIVA,LSIL_35_1.png,622.7379134860051,10.422391857506362,ASCUS,ASCUS,40031.0,1,623,10,data\processed\riva_crops\LSIL_35_1_cluster_40031.png,True,LSIL_35,train
RIVA,HSIL_1_18.png,580.5020689655172,141.2413793103448,NILM,Sin lesion,40067.0,0,581,141,data\processed\riva_crops\HSIL_1_18_cluster_40067.png,True,HSIL_1,train
RIVA,HSIL_1_18.png,532.48,293.7820689655172,NILM,Sin lesion,40069.0,0,532,294,data\processed\riva_crops\HSIL_1_18_cluster_40069.png,True,HSIL_1,train
RIVA,HSIL_1_18.png,656.7724137931034,353.1034482758621,NILM,Sin lesion,40073.0,0,657,353,data\processed\riva_crops\HSIL_1_18_cluster_40073.png,True,HSIL_1,train
RIVA,LSIL_24_1.png,85.98473282442748,818.1577608142494,INFL,INFL,40134.0,0,86,818,data\processed\riva_crops\LSIL_24_1_cluster_40134.png,True,LSIL_24,train
RIVA,LSIL_9_1.png,58.19006419883231,60.77628927433598,LSIL,LSIL,40140.0,1,58,61,data\processed\riva_crops\LSIL_9_1_cluster_40140.png,True,LSIL_9,train
RIVA,LSIL_9_1.png,117.67324093541647,266.3811827768768,ENDO,ENDO,40146.0,0,118,266,data\processed\riva_crops\LSIL_9_1_cluster_40146.png,True,LSIL_9,train
RIVA,LSIL_38_9.png,872.871724137931,694.9075862068966,LSIL,LSIL,40192.0,1,873,695,data\processed\riva_crops\LSIL_38_9_cluster_40192.png,True,LSIL_38,train
RIVA,HSIL_3_3.png,315.1792207792208,381.6727272727273,NILM,Sin lesion,40339.0,0,315,382,data\processed\riva_crops\HSIL_3_3_cluster_40339.png,True,HSIL_3,train
RIVA,LSIL_9_2.png,363.9458047209036,471.4432885886927,ENDO,ENDO,40354.0,0,364,471,data\processed\riva_crops\LSIL_9_2_cluster_40354.png,True,LSIL_9,train
RIVA,LSIL_9_2.png,944.0621340298871,605.4117790383564,NILM,Sin lesion,40392.0,0,944,605,data\processed\riva_crops\LSIL_9_2_cluster_40392.png,True,LSIL_9,train
RIVA,LSIL_9_2.png,707.7752066770526,941.7110203248836,INFL,INFL,40393.0,0,708,942,data\processed\riva_crops\LSIL_9_2_cluster_40393.png,True,LSIL_9,train
RIVA,HSIL_17_8.png,117.25190839694656,198.0254452926208,CA,CA,40407.0,1,117,198,data\processed\riva_crops\HSIL_17_8_cluster_40407.png,True,HSIL_17,train
RIVA,LSIL_16_2.png,377.6831168831168,598.4415584415584,ENDO,ENDO,40436.0,0,378,598,data\processed\riva_crops\LSIL_16_2_cluster_40436.png,True,LSIL_16,train
RIVA,LSIL_16_2.png,751.3766233766233,856.4363636363636,LSIL,LSIL,40450.0,1,751,856,data\processed\riva_crops\LSIL_16_2_cluster_40450.png,True,LSIL_16,train
RIVA,LSIL_38_4.png,574.8524137931034,264.1213793103448,LSIL,LSIL,40457.0,1,575,264,data\processed\riva_crops\LSIL_38_4_cluster_40457.png,True,LSIL_38,train
RIVA,HSIL_4_3.png,817.7875862068965,661.0096551724138,NILM,Sin lesion,40545.0,0,818,661,data\processed\riva_crops\HSIL_4_3_cluster_40545.png,True,HSIL_4,train
RIVA,HSIL_4_3.png,800.8386206896553,877.1089655172414,NILM,Sin lesion,40546.0,0,801,877,data\processed\riva_crops\HSIL_4_3_cluster_40546.png,True,HSIL_4,train
RIVA,LSIL_33_9.png,561.2527964205816,192.4295302013423,NILM,Sin lesion,40554.0,0,561,192,data\processed\riva_crops\LSIL_33_9_cluster_40554.png,True,LSIL_33,train
RIVA,LSIL_33_9.png,128.28635346756153,377.9865771812081,INFL,INFL,40571.0,0,128,378,data\processed\riva_crops\LSIL_33_9_cluster_40571.png,True,LSIL_33,train
RIVA,HSIL_16_5.png,552.8332689475166,672.1145346663554,ASCH,ASCH,40586.0,1,553,672,data\processed\riva_crops\HSIL_16_5_cluster_40586.png,True,HSIL_16,train
RIVA,HSIL_22_12.png,709.1025056947608,415.1981776765376,HSIL,HSIL,40630.0,1,709,415,data\processed\riva_crops\HSIL_22_12_cluster_40630.png,True,HSIL_22,train
RIVA,HSIL_22_12.png,765.0842824601368,555.1526195899772,HSIL,HSIL,40634.0,1,765,555,data\processed\riva_crops\HSIL_22_12_cluster_40634.png,True,HSIL_22,train
RIVA,LSIL_5_3.png,966.6768447837152,906.7480916030536,ASCUS,ASCUS,40704.0,1,967,907,data\processed\riva_crops\LSIL_5_3_cluster_40704.png,True,LSIL_5,train
RIVA,LSIL_35_3.png,599.2875318066159,935.409669211196,INFL,INFL,40771.0,0,599,935,data\processed\riva_crops\LSIL_35_3_cluster_40771.png,True,LSIL_35,train
RIVA,LSIL_50_6.png,823.4372413793103,139.8289655172414,NILM,Sin lesion,40786.0,0,823,140,data\processed\riva_crops\LSIL_50_6_cluster_40786.png,True,LSIL_50,train
RIVA,LSIL_23_5.png,745.6079823269097,19.118153392997684,LSIL,LSIL,40863.0,1,746,19,data\processed\riva_crops\LSIL_23_5_cluster_40863.png,True,LSIL_23,train
RIVA,HSIL_35_4.png,618.132118451025,790.742596810934,NILM,Sin lesion,40882.0,0,618,791,data\processed\riva_crops\HSIL_35_4_cluster_40882.png,True,HSIL_35,train
RIVA,LSIL_49_3.png,406.775172413793,314.96827586206894,NILM,Sin lesion,40920.0,0,407,315,data\processed\riva_crops\LSIL_49_3_cluster_40920.png,True,LSIL_49,train
RIVA,LSIL_49_3.png,422.31172413793104,795.1889655172415,INFL,INFL,40930.0,0,422,795,data\processed\riva_crops\LSIL_49_3_cluster_40930.png,True,LSIL_49,train
RIVA,LSIL_13_3.png,210.44965517241383,601.688275862069,NILM,Sin lesion,40946.0,0,210,602,data\processed\riva_crops\LSIL_13_3_cluster_40946.png,True,LSIL_13,train
RIVA,LSIL_10_5.png,698.3002544529262,190.2086513994912,INFL,INFL,41002.0,0,698,190,data\processed\riva_crops\LSIL_10_5_cluster_41002.png,True,LSIL_10,train
RIVA,LSIL_10_5.png,362.17811704834605,20.844783715012724,INFL,INFL,41019.0,0,362,21,data\processed\riva_crops\LSIL_10_5_cluster_41019.png,True,LSIL_10,train
RIVA,LSIL_10_5.png,852.0305343511451,455.9796437659034,INFL,INFL,41024.0,0,852,456,data\processed\riva_crops\LSIL_10_5_cluster_41024.png,True,LSIL_10,train
RIVA,LSIL_10_5.png,44.29516539440203,766.0458015267176,INFL,INFL,41045.0,0,44,766,data\processed\riva_crops\LSIL_10_5_cluster_41045.png,True,LSIL_10,train
RIVA,LSIL_10_5.png,437.7404580152672,977.0992366412214,INFL,INFL,41051.0,0,438,977,data\processed\riva_crops\LSIL_10_5_cluster_41051.png,True,LSIL_10,train
RIVA,HSIL_LSIL_1_17.png,388.32207792207794,454.8155844155844,NILM,Sin lesion,41110.0,0,388,455,data\processed\riva_crops\HSIL_LSIL_1_17_cluster_41110.png,True,HSIL_LSIL_1,train
RIVA,HSIL_18_11.png,622.7379134860051,213.6590330788804,NILM,Sin lesion,41128.0,0,623,214,data\processed\riva_crops\HSIL_18_11_cluster_41128.png,True,HSIL_18,train
RIVA,HSIL_22_3.png,412.42482758620696,936.430344827586,HSIL,HSIL,41265.0,1,412,936,data\processed\riva_crops\HSIL_22_3_cluster_41265.png,True,HSIL_22,train
RIVA,HSIL_3_5.png,642.3272727272728,839.1480519480521,INFL,INFL,41336.0,0,642,839,data\processed\riva_crops\HSIL_3_5_cluster_41336.png,True,HSIL_3,train
RIVA,ASCUS_3_4.png,184.85194805194803,895.0025974025975,ASCUS,ASCUS,41366.0,1,185,895,data\processed\riva_crops\ASCUS_3_4_cluster_41366.png,True,ASCUS_3,train
RIVA,LSIL_37_8.png,567.181446111869,758.5702592087313,NILM,Sin lesion,41391.0,0,567,759,data\processed\riva_crops\LSIL_37_8_cluster_41391.png,True,LSIL_37,train
RIVA,HSIL_1_13.png,460.44689655172414,758.4662068965517,NILM,Sin lesion,41405.0,0,460,758,data\processed\riva_crops\HSIL_1_13_cluster_41405.png,True,HSIL_1,train
RIVA,LSIL_39_4.png,687.8778625954199,349.1501272264631,INFL,INFL,41418.0,0,688,349,data\processed\riva_crops\LSIL_39_4_cluster_41418.png,True,LSIL_39,train
RIVA,HSIL_35_6.png,984.346241457859,188.93849658314355,INFL,INFL,41462.0,0,984,189,data\processed\riva_crops\HSIL_35_6_cluster_41462.png,True,HSIL_35,train
RIVA,LSIL_23_3.png,121.13430524488888,935.7826255281784,LSIL,LSIL,41510.0,1,121,936,data\processed\riva_crops\LSIL_23_3_cluster_41510.png,True,LSIL_23,train
RIVA,LSIL_23_3.png,965.6856492027335,622.7972665148064,LSIL,LSIL,41512.0,1,966,623,data\processed\riva_crops\LSIL_23_3_cluster_41512.png,True,LSIL_23,train
RIVA,LSIL_10_2.png,786.8905852417303,75.56234096692111,LSIL,LSIL,41603.0,1,787,76,data\processed\riva_crops\LSIL_10_2_cluster_41603.png,True,LSIL_10,train
RIVA,LSIL_10_2.png,515.9083969465648,57.32315521628499,LSIL,LSIL,41615.0,1,516,57,data\processed\riva_crops\LSIL_10_2_cluster_41615.png,True,LSIL_10,train
RIVA,LSIL_5_4.png,31.267175572519083,859.8473282442749,CA,CA,41691.0,1,31,860,data\processed\riva_crops\LSIL_5_4_cluster_41691.png,True,LSIL_5,train
RIVA,LSIL_5_4.png,20.844783715012724,763.4402035623409,CA,CA,41694.0,1,21,763,data\processed\riva_crops\LSIL_5_4_cluster_41694.png,True,LSIL_5,train
RIVA,HSIL_22_11.png,944.6924829157176,76.9749430523918,LSIL,LSIL,41725.0,1,945,77,data\processed\riva_crops\HSIL_22_11_cluster_41725.png,True,HSIL_22,train
RIVA,HSIL_22_11.png,167.9453302961276,163.28018223234625,LSIL,LSIL,41728.0,1,168,163,data\processed\riva_crops\HSIL_22_11_cluster_41728.png,True,HSIL_22,train
